user_id,total_views,avg_watch_duration,active_days,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,cluster_kmeans,cluster_dbscan,cluster_hierarchical
user_00001,14,71.46666666666667,12,1,4,0,2,0,1,1,3,1,0,0,0,1,0,0,1,0,1,3,1,figueroajohn@example.org,Erica,Garza,43.0,Male,USA,Massachusetts,North Jefferyhaven,Basic,2024-04-08,True,36.06,Laptop,1.0,2023-04-01 14:40:50.540242,0,-1,0
user_00002,16,48.88666666666666,14,1,0,0,1,0,0,2,2,1,0,0,3,0,2,1,4,1,1,1,1,blakeerik@example.com,Joshua,Bernard,38.0,Male,USA,Texas,North Noahstad,Premium+,2024-05-24,True,14.59,Desktop,2.0,2024-10-10 15:39:11.030515,0,-1,0
user_00003,9,73.43333333333334,8,0,0,4,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,smiller@example.net,Barbara,Williams,32.0,Female,USA,Michigan,Traciebury,Standard,2023-09-22,False,11.71,Desktop,3.0,2024-06-29 14:27:49.560875,0,-1,0
user_00004,17,91.3,14,0,2,1,0,0,0,4,4,2,0,0,2,3,1,1,0,1,0,1,1,mitchellclark@example.com,Chelsea,Ferguson,11.0,Male,USA,Ohio,South Noah,Standard,2024-08-21,True,28.56,Laptop,2.0,2023-04-11 01:01:59.614841,0,-1,0
user_00005,10,80.13333333333333,9,1,3,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,1,1,0,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,Standard,2024-10-28,True,9.54,Desktop,6.0,2025-04-12 19:59:30.137806,0,-1,0
user_00006,12,40.70909090909091,11,0,5,0,1,0,1,0,1,2,0,1,1,2,1,0,1,0,0,0,1,jeffrey28@example.com,Katelyn,Hernandez,43.0,Female,Canada,Quebec,Carlsonfurt,Standard,2024-05-16,True,13.53,Gaming Console,2.0,2024-03-04 19:57:36.106319,0,-1,0
user_00007,12,60.2,12,1,0,1,0,0,2,0,1,0,2,1,0,2,0,2,2,1,1,0,1,maldonadoamanda@example.com,Daniel,Moore,63.0,Unknown,USA,Maryland,Teresaburgh,Premium,2025-03-13,True,27.74,Desktop,1.0,2025-02-10 07:18:23.258712,0,-1,0
user_00008,11,45.544444444444444,11,0,2,0,2,1,1,1,0,1,0,2,1,1,1,0,0,0,0,2,0,nathanielmartin@example.net,Carol,Smith,35.0,Male,Canada,New Brunswick,Johnbury,Basic,2022-11-03,True,6.69,Tablet,1.0,2025-01-13 04:53:02.134116,1,-1,1
user_00009,7,64.66666666666667,7,0,0,0,1,0,0,1,1,0,2,0,0,0,1,1,1,1,2,0,0,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,Premium,2025-04-13,True,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721,0,-1,0
user_00010,10,61.48,8,0,0,2,1,2,0,2,1,0,0,1,0,0,3,1,1,0,0,0,1,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,Basic,2024-08-04,True,23.18,Laptop,1.0,2024-03-15 22:04:39.445799,0,-1,0
user_00011,14,52.73571428571428,13,1,2,1,2,0,0,1,0,1,1,1,3,0,0,1,1,2,0,1,2,kristenaguirre@example.org,Collin,Gomez,67.0,Female,USA,Ohio,Shieldston,Basic,2022-10-07,True,556.13,Desktop,2.0,2024-12-27 07:05:50.526519,0,-1,0
user_00012,17,46.70666666666667,15,1,1,0,0,2,1,1,4,3,1,2,0,2,1,1,1,0,2,1,0,jamesherrera@example.org,Isaiah,Wright,41.0,Female,USA,Missouri,Mortonside,Premium,2022-09-26,True,29.23,Tablet,2.0,2025-06-29 19:39:28.228369,0,-1,0
user_00013,11,77.22999999999999,11,0,0,1,3,0,0,1,0,0,0,2,4,1,0,0,0,0,1,0,0,richardolson@example.com,Franklin,Galloway,32.0,Female,USA,Ohio,Mitchellside,Basic,2023-01-18,True,18.68,Gaming Console,3.0,2023-03-29 14:38:00.334657,1,-1,1
user_00014,12,69.78181818181818,12,0,1,3,1,1,2,0,1,2,0,1,1,0,1,0,1,0,2,1,0,adkinsbrian@example.net,Wesley,Brown,22.0,Male,USA,Pennsylvania,North Brooke,Basic,2023-10-18,True,25.19,Laptop,2.0,2024-04-28 09:41:18.589372,0,-1,0
user_00015,11,61.190909090909095,9,1,0,2,1,0,1,2,1,0,0,0,1,0,1,0,0,2,1,1,0,barnesbrandy@example.net,Sarah,Santiago,45.0,Female,Canada,Alberta,West Randy,Basic,2023-12-16,False,5.14,Mobile,3.0,2022-08-13 06:39:47.240847,1,-1,1
user_00016,8,45.11666666666667,8,1,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,2,2,0,medinawilliam@example.org,Nicole,Wood,50.0,Female,USA,Pennsylvania,Bassport,Standard,2024-08-02,True,3.36,Laptop,1.0,2025-05-20 00:20:29.058670,0,-1,0
user_00017,11,62.54,10,0,0,0,3,0,0,1,0,2,1,1,0,0,0,2,0,0,2,2,2,josephpreston@example.net,Joseph,Robbins,25.0,Female,USA,Indiana,Williamview,Premium,2022-11-11,True,13.53,Smart TV,1.0,2025-01-27 19:17:27.125271,1,-1,1
user_00018,8,49.0,8,1,2,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2,cookdavid@example.com,Joyce,Hoffman,36.0,Female,USA,Tennessee,Lake Rebeccaside,Basic,2025-02-01,True,8.78,Laptop,6.0,2023-11-16 23:54:48.504059,0,-1,0
user_00019,16,82.45,14,0,4,1,0,1,1,2,0,0,1,1,0,2,0,1,0,3,0,2,2,michael05@example.org,Elizabeth,Deleon,26.0,Other,USA,Ohio,East Michelle,Premium,2025-03-25,True,10.28,Mobile,7.0,2023-02-15 14:23:22.312820,0,-1,0
user_00020,11,66.425,10,1,2,3,3,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,vpham@example.org,Erik,Reyes,31.0,Female,USA,Indiana,Walkermouth,Premium+,2023-07-02,True,11.32,Tablet,2.0,2023-04-04 07:58:29.582072,1,-1,1
user_00021,9,45.08,9,1,1,0,1,3,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,emurphy@example.com,Darlene,Frazier,38.0,Female,Canada,Alberta,North Natalieview,Basic,2024-04-29,True,17.24,Laptop,3.0,2022-09-13 23:45:07.830930,0,-1,0
user_00022,15,56.17999999999999,13,1,0,1,1,1,0,1,0,1,0,3,2,1,1,1,1,2,2,2,1,jessica56@example.net,Paul,Scott,33.0,Male,USA,Florida,New Saraside,Premium+,2023-09-05,True,13.53,Gaming Console,2.0,2025-06-07 18:30:35.952797,0,-1,0
user_00023,18,129.7375,16,1,1,2,0,1,0,1,2,0,1,1,0,4,2,1,3,1,1,1,0,elizabeth14@example.net,Elizabeth,Powell,40.0,Female,Canada,New Brunswick,East Robert,Basic,2024-08-13,True,13.53,Gaming Console,3.0,2024-06-07 12:03:36.120220,0,-1,0
user_00024,10,137.4625,9,2,0,0,0,0,1,0,1,1,1,0,0,2,1,1,0,1,2,1,1,akelley@example.com,Jason,Marshall,35.0,Female,Canada,British Columbia,New Thomas,Standard,2024-07-24,True,23.83,Desktop,2.0,2024-02-18 20:40:39.992692,0,-1,0
user_00025,10,87.39,8,0,0,0,1,3,0,0,0,2,0,1,0,1,1,0,0,0,1,2,0,cardenaskaren@example.net,Jeffrey,Hernandez,36.0,Male,USA,New York,South Cheryl,Premium+,2023-12-14,False,11.97,Tablet,2.0,2024-09-28 04:14:08.236240,0,-1,0
user_00026,10,57.7125,9,0,0,1,2,1,1,1,1,1,0,3,0,0,1,1,2,0,0,0,0,jross@example.net,Patricia,Osborne,60.0,Prefer not to say,Canada,Ontario,Port Susan,Basic,2022-09-26,True,36.53,Smart TV,2.0,2025-05-04 08:39:28.102260,0,-1,0
user_00027,12,61.02,11,2,0,0,1,0,1,0,0,3,1,1,1,2,3,1,0,2,0,0,0,danderson@example.net,Stephanie,Salazar,37.0,Female,USA,Michigan,Merrittfort,Basic,2023-05-13,True,17.72,Mobile,2.0,2025-02-08 07:48:05.283475,0,-1,0
user_00028,20,65.06,18,3,1,0,1,0,3,0,1,1,2,4,1,1,0,3,2,2,0,0,2,rsims@example.com,Jennifer,Nelson,35.0,Male,USA,Indiana,East Edwardfurt,Standard,2024-09-14,True,41.44,Laptop,3.0,2023-10-31 15:35:20.997207,0,-1,0
user_00029,8,46.48333333333333,8,0,1,1,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,nperry@example.com,Rebecca,Gates,28.0,Female,USA,Washington,Smithstad,Basic,2024-11-04,True,12.06,Gaming Console,2.0,2024-03-14 19:25:44.085539,0,-1,0
user_00030,10,55.8625,10,1,0,1,0,1,0,1,1,1,2,1,0,0,2,0,5,0,1,0,0,brobinson@example.com,Paul,Ramsey,24.0,Unknown,USA,Indiana,New Amanda,Premium,2024-05-11,True,10.17,Laptop,4.0,2022-11-03 01:16:54.703949,0,-1,0
user_00031,7,67.65714285714286,7,0,0,1,1,0,1,0,3,1,0,1,0,0,0,0,1,0,0,0,1,michellewhite@example.com,Mark,Murphy,26.0,Male,USA,Massachusetts,Karenchester,Premium+,2025-02-02,True,18.19,Tablet,2.0,2022-08-24 07:25:10.816748,0,-1,0
user_00032,10,34.955555555555556,10,0,1,0,1,1,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,jeffrey10@example.org,James,Howell,56.0,Male,USA,Pennsylvania,South Elizabeth,Premium+,2023-12-24,True,7.49,Gaming Console,4.0,2024-11-20 09:01:33.486190,0,-1,0
